site,elevation,focal.species,background.species,pair,origin.focal,origin.background,origin.pair,type,surv.int,surv.slope,surv.sd.global,n.survival,growth.int,growth.slope,growth.slope.qudratic,growth.sd.global,n.growth,growth.sd,growth.sd.int,growth.sd.slope,n.growth.sd,flowering.int,flowering.slope,flowering.sd.global,n.flowering,fecundity.int,fecundity.slope,fecundity.sd.global,n.fecundity,germination.prob,germination.sd.global,n.germination,establishment.funiche.int,establishment.funiche.sd.global,n.establishment.funiche,establishment.comp.int,establishment.comp.sd.global,n.establishment.comp,seedling.size.mean,seedling.size.sd,n.seedling.size,L,U,n.size.range,pgr,comment,bootstrap
Solalex,1400,Trba,Melu,yes,Highland,Lowland,Lowland_Highland,Novel,0.081037105,0.419503368,0.913469755,6,-0.369028936,0.566741846,NA,0.765640788,0,0.709764534,NA,NA,NA,2.621908541,2.195767175,NA,6,5.687054745,0.776160688,NA,0,0.047134935,NA,20,-1.386294361,NA,15,-3.160460871,NA,18,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,6,0.366633269,NA,0
Solalex,1400,Trba,Plla,yes,Highland,Lowland,Lowland_Highland,Novel,-0.014806003,0.419503368,0.913469755,6,0.591533002,0.566741846,NA,0.765640788,1,0.601892121,NA,NA,NA,1.732432126,2.195767175,NA,6,6.275727713,0.776160688,NA,1,0.047134935,NA,20,-1.386294361,NA,15,-2.561848932,NA,16,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,6,0.24050434,NA,0
Solalex,1400,Trba,Potr,NA,Highland,Lowland,Lowland_Highland,Novel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Solalex,1400,Trba,Sapr,yes,Highland,Lowland,Lowland_Highland,Novel,-1.129123892,0.419503368,0.913469755,11,0.262636212,0.566741846,NA,0.765640788,2,1.038858235,NA,NA,NA,1.097988227,2.195767175,NA,11,6.089783767,0.776160688,NA,1,0.047134935,NA,20,-1.386294361,NA,15,-2.728151777,NA,13,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,11,0.124691098,NA,0
Solalex,1400,Trba,none,yes,Highland,None,None,None,-1.583613555,0.419503368,0.913469755,15,0.47596684,0.566741846,NA,0.765640788,1,1.171368864,NA,NA,NA,0.997010595,2.195767175,NA,19,6.83330606,0.776160688,NA,2,0.047134935,NA,20,-1.386294361,NA,15,-0.589955182,NA,16,-3.424490788,1.234532159,58,-5.952243834,-0.05976062,19,0.17561245,NA,0
Anzeindaz,1900,Anal,site,yes,Highland,None,None,None,0.128673431,0.093639882,NA,170,2.527050411,0.555276976,NA,NA,87,0.614450675,NA,NA,NA,-3.056594192,3.268552436,NA,199,3.407172186,1.318153687,NA,64,0.091928251,NA,20,0.277631737,NA,20,2.708050201,NA,68,-3.091460995,0.864587193,40,-4.767689115,4.140235237,199,3.268961911,NA,0
Anzeindaz,1900,Armo,site,yes,Highland,None,None,None,0.436984195,-0.030522055,NA,72,-3.984218533,0.039754723,NA,NA,44,0.698224749,NA,NA,NA,-400,0,NA,NA,-800,0,NA,NA,0.004761905,NA,20,20,NA,0,0.559615788,NA,44,-4.075211564,0.43619333,10,-6.125047426,-2.541528488,82,0.629088757,NA,0
Anzeindaz,1900,Asal,site,yes,Highland,None,None,None,7.659860487,1.387525309,NA,123,0.754151449,0.950217832,NA,NA,118,0.614649389,NA,NA,NA,-0.077465616,4.499556746,NA,187,5.521968926,0.678688156,NA,7,0.058984008,NA,20,2.19722456,NA,10,1.314500971,NA,44,-2.948811672,0.837905525,50,-5.36019277,0.854673994,187,1.743970349,NA,0
Anzeindaz,1900,Brer,site,yes,Lowland,None,None,None,3.486127806,0.576685441,NA,223,1.271172206,0.812371614,NA,NA,207,0.773069537,NA,NA,NA,-1.711889542,1.936788539,NA,302,2.5479396,1.251647921,NA,90,0.144265233,NA,20,-0.251314428,NA,16,2.538973871,NA,16,-3.473870387,0.525498592,20,-4.482952553,4.271286139,302,2.199138458,NA,0
Anzeindaz,1900,Crbi,site,yes,Lowland,None,None,None,1.075781099,-1.076605774,NA,183,1.502242659,0.480270855,NA,NA,123,0.90812641,NA,NA,NA,-4.095855486,3.133572356,NA,207,6.542283194,0.246757394,NA,53,0.023378076,NA,20,2.48490665,NA,10,21.56606849,NA,20,-2.072037809,0.502200116,20,-3.519737231,3.555348061,208,2.892317243,NA,0
Anzeindaz,1900,Daca,site,yes,Lowland,None,None,None,-0.545825351,-0.943828105,NA,155,1.368416643,0.533458364,NA,NA,97,1.307863358,NA,NA,NA,1.350018311,3.70412356,NA,165,5.530763448,1.105501823,NA,49,0.04,NA,0,20,NA,0,1.609437912,NA,12,-2.884157614,0.893370379,49,-4.448166437,3.060274053,165,4.130415983,NA,0
Anzeindaz,1900,Melu,site,yes,Lowland,None,None,None,0.627121656,-0.357406784,NA,191,1.248032856,0.316661751,NA,NA,125,1.099448579,NA,NA,NA,-0.128712679,1.576636996,NA,224,5.884276507,1.014701189,NA,107,0.041484185,NA,20,0.730887509,NA,16,18.27972999,NA,30,-2.617288451,0.571528906,40,-3.876173353,3.571608287,224,5.04023215,NA,0
Anzeindaz,1900,Plal,site,yes,Highland,None,None,None,7.612369768,1.437991524,NA,198,0.685316924,0.493825246,NA,NA,195,0.861414267,NA,NA,NA,0.321114596,1.509474775,NA,270,4.558765645,0.979970015,NA,108,0.024492234,NA,20,0.594707108,NA,16,3.33220451,NA,3,-3.501290859,0.437417482,20,-4.135166557,2.880321422,270,1.883505456,NA,0
Anzeindaz,1900,Plla,site,yes,Lowland,None,None,None,5.025206221,0.488304042,NA,179,1.14127079,0.642567468,NA,NA,177,1.012792687,NA,NA,NA,-0.290577844,2.264395031,NA,248,3.813984206,1.204318825,NA,110,0.18723176,NA,20,1.446918983,NA,20,3.401197382,NA,31,-2.63919995,0.432468178,16,-3.576204972,3.847114766,248,4.437988278,NA,0
Anzeindaz,1900,Poal,site,yes,Highland,None,None,None,3.745630907,0.122826289,NA,144,-0.419379055,0.367212727,NA,NA,139,1.01300597,NA,NA,NA,1.239173661,1.468110982,NA,203,6.537076696,0.876419626,NA,72,0.100715308,NA,20,1.299282984,NA,14,1.481604541,NA,27,-3.102162294,0.598021055,20,-4.315506079,2.301584593,207,4.071773376,NA,0
Anzeindaz,1900,Potr,site,yes,Lowland,None,None,None,4.279848158,0.544952639,NA,193,-0.835010593,0.237574321,NA,NA,178,1.315148648,NA,NA,NA,2.280179534,2.482652885,NA,259,5.453685894,0.929895815,NA,93,0.001844606,NA,20,0.980829253,NA,3,1.458615023,NA,8,-2.70451344,0.636531962,39,-6.632838958,1.156564378,259,1.014598864,NA,0
Anzeindaz,1900,Sapr,site,yes,Lowland,None,None,None,7.36674743,1.781981467,NA,215,0.915132371,1.041248503,NA,NA,210,0.851605009,NA,NA,NA,-1.02662899,3.653490284,NA,296,3.376226618,1.599387923,NA,41,0.056967572,NA,20,0.934309237,NA,13,25.56606925,NA,5,-2.095795687,0.539515612,20,-3.435788826,2.250835479,296,1.933577802,NA,0
Anzeindaz,1900,Seca,site,yes,Highland,None,None,None,9.102425851,2.167411073,NA,188,0.940607054,0.839171351,NA,NA,174,0.70349622,NA,NA,NA,-2.832726118,1.963529018,NA,261,3.643773428,0.791838998,NA,15,0.004938272,NA,20,-0.693147181,NA,4,19.5660685,NA,22,-3.059477788,1.361763629,40,-5.240048458,2.802019473,261,0.891550584,NA,0
Anzeindaz,1900,Trba,site,yes,Highland,None,None,None,2.310688564,0.455780694,NA,202,0.564651892,0.735349612,NA,NA,153,0.852888641,NA,NA,NA,1.505959476,2.241848698,NA,270,6.257906237,0.880222346,NA,90,0.035120148,NA,20,0.510825624,NA,16,2.487741759,NA,46,-3.424490788,1.234532159,58,-5.952243834,1.520522213,270,2.165383286,NA,0
Anzeindaz,1900,Anal,site_none,yes,Highland,None,None,None,0.03774176,0.042135716,NA,196,2.623155384,0.56112515,NA,NA,98,0.695686094,NA,NA,NA,-3.166444686,2.964522812,NA,225,3.59071532,1.22516474,NA,74,0.091928251,NA,20,0.277631737,NA,20,20.56606834,NA,75,-3.091460995,0.864587193,40,-4.767689115,4.94289518,225,NA,NA,0
Anzeindaz,1900,Armo,site_none,yes,Highland,None,None,None,1.712703864,0.217489327,NA,85,-3.331829217,0.175879585,NA,NA,56,0.690270717,NA,NA,NA,-400,0,NA,NA,-800,0,NA,NA,0.004761905,NA,20,20,NA,0,0.581921545,NA,53,-4.075211564,0.43619333,10,-6.125047426,-2.238342229,99,NA,NA,0
Anzeindaz,1900,Asal,site_none,yes,Highland,None,None,None,7.889893564,1.451115035,NA,141,1.289883189,1.115128918,NA,NA,136,0.690045753,NA,NA,NA,-0.637275689,3.374265992,NA,214,5.03236788,1.112330417,NA,20,0.058984008,NA,20,2.19722456,NA,10,25.77518823,NA,53,-2.948811672,0.837905525,50,-5.36019277,2.897855132,214,NA,NA,0
